DateSold,Price
7/30/14,67500000
11/19/14,125000000
5/27/15,245000000
8/19/15,350000000
6/1/16,290000000
2/21/17,125000000
5/17/17,130000000
8/15/17,150000000
10/15/17,105000000
11/27/17,125000000
12/18/17,130000000
4/30/18,110000000
6/1/18,80600000
11/1/18,80000000
3/1/19,105000000
8/1/19,95000000
8/9/19,90000000
12/17/19,95000000
2/17/20,111000000
7/27/20,100000000
11/23/20,98000000
11/23/20,95000000
12/28/20,105000000
1/5/21,100000000
2/1/21,102000000
8/9/21,105000000
9/7/21,105000000
11/17/21,110000000
2/9/22,110000000
5/13/22,110000000
6/30/22,100000000
7/13/22,110000000
11/30/22,102000000
1/6/23,95000000
5/31/23,106000000
7/5/23,102000000
8/21/23,100000000
2/5/24,103000000
5/9/24,105000000
5/30/24,108000000
8/27/24,158000000
11/5/24,150000000
11/27/24,150000000
2/27/25,150000000
6/18/25,160000000
7/2/25,155000000
9/30/25,175000000
1/13/26,200000000
2/23/26,205000000
4/28/26,180000000
4/30/26,195000000
5/7/26,187500000
5/18/26,200000000
6/18/26,195000000
6/30/26,220000000
,
